gene,entrez_id,mut_n,amp_n,gain_n,shallow_del_n,deep_del_n,any_cna_n,any_alter_n,N,mut_freq,amp_freq,deep_del_freq,any_cna_freq,any_alter_freq
PIK3CA,5290,345,34,296,58,0,388,611,1052,0.3279467680608365,0.03231939163498099,0.0,0.3688212927756654,0.5807984790874525
PIK3R1,5295,29,0,184,278,10,472,486,1052,0.027566539923954372,0.0,0.009505703422053232,0.44866920152091255,0.4619771863117871
PIK3CB,5291,10,6,259,89,0,354,360,1052,0.009505703422053232,0.005703422053231939,0.0,0.3365019011406844,0.34220532319391633
PIK3R2,5296,4,13,200,193,0,406,408,1052,0.0038022813688212928,0.012357414448669201,0.0,0.38593155893536124,0.38783269961977185
PTEN,5728,56,4,83,266,54,407,423,1052,0.053231939163498096,0.0038022813688212928,0.051330798479087454,0.38688212927756654,0.40209125475285173
AKT1,207,27,12,158,294,2,466,483,1052,0.025665399239543727,0.011406844106463879,0.0019011406844106464,0.4429657794676806,0.4591254752851711
AKT2,208,4,16,237,168,1,422,424,1052,0.0038022813688212928,0.015209125475285171,0.0009505703422053232,0.4011406844106464,0.40304182509505704
AKT3,10000,7,104,668,34,2,808,811,1052,0.006653992395437262,0.09885931558935361,0.0019011406844106464,0.7680608365019012,0.7709125475285171
MTOR,2475,20,1,61,431,4,497,505,1052,0.019011406844106463,0.0009505703422053232,0.0038022813688212928,0.47243346007604564,0.48003802281368824
TSC1,7248,9,5,147,281,4,437,441,1052,0.008555133079847909,0.004752851711026616,0.0038022813688212928,0.41539923954372626,0.41920152091254753
TSC2,7249,9,44,516,86,0,646,647,1052,0.008555133079847909,0.04182509505703422,0.0,0.6140684410646388,0.6150190114068441
RICTOR,253260,10,12,336,99,2,449,453,1052,0.009505703422053232,0.011406844106463879,0.0019011406844106464,0.4268060836501901,0.4306083650190114
RPTOR,57521,14,41,345,169,2,557,562,1052,0.013307984790874524,0.03897338403041825,0.0019011406844106464,0.529467680608365,0.5342205323193916
STK11,6794,3,1,114,348,12,475,475,1052,0.0028517110266159697,0.0009505703422053232,0.011406844106463879,0.4515209125475285,0.4515209125475285
INPP4B,8821,8,6,109,294,1,410,413,1052,0.0076045627376425855,0.005703422053231939,0.0009505703422053232,0.3897338403041825,0.3925855513307985
